字	câu	wskazowka	mot	phrase	indication	word	sentence	słowo	zdanie	palabra	frases
回归	香港回归中国。	七月一日香港回归中国二十周年。									
周年											
苏联											
导弹											
子弹											
芬兰	芬兰是世界高度的发达国家和福利国家										
澳门											
千变万化											
千言万语	千言万语汇成一句话我爱你。										
中华											
强迫	我强迫我自己看书										
排名	美国排名前50的大学有哪些。										
身无分文											
情节	那电影的情节是奇怪的。										
二叉树	计算机科学										
一天比一天好											
放											
丢失	我的钥匙就是在附近丢失的。										
亡											
死亡	爱情比死亡更强大。	没什么比死亡更可怕。									
灭亡	从古到今，没有过不灭亡的国家。										
从古到今											
盲	这是一本盲文的书。										
狂妄	他这个人狂妄。										
妄											
忙											
芒果											
独唱											
合唱											
娼妓	他失业了，沦为娼妓。										
沦为											
天鹅											
鹅											
异国恋	这只母鹅比那只鸭子大多了。										
堕胎	你对堕胎有什么看法。	你支持还是反对堕胎？									
贫穷差距											
贫穷											
骗子	他是个骗子。										
疯子	他现在的像个疯子。										
伊朗🇮🇷											
甲鱼											
哺乳动物	鲸鱼和马一样都是哺乳动物。										
鲸鱼	我从没见过那么大的境遇。										
鲤											
鲨鱼🦈	海豚是哺乳动物。										
三文鱼🍣											
章鱼🐙											
海豚🐬	海豚是十分聪明的动物。										
海蜇	海蜇不和我的胃口。										
鳄鱼🐊											
螃蟹🦀️	我经常去海滩捉螃蟹。										
虾🦐	你要吃虾吗？										
龙虾	龙虾有八条腿两条爪子。										
爪子	猫有锋利的爪子。										
锋利											
吓	恐怖片会吓到小孩。										
恐怖片	什么种电影我都喜欢，除非恐怖片。										
歧视	歧视妇女										
特朗普											
奥巴马											
茉莉花											
机器学习											
人工	人工智能										
囚犯	新囚犯怯怯地说。										
怯怯											
美梦成真											
彩虹🌈	彩虹有七种颜色。	你看到彩虹了吗？	大雨之后常有彩虹。								
芭蕾	年仅4岁的乔治王子要上的课可不少，不仅要学英语、数学、芭蕾等课程，还要学说普通话。										
乔治											
温哥华											
更新											
疼痛	缓解										
缓解	缓解紧张的。										
爱护	请爱护公共环境，勿随地吐痰。										
吐痰	吃得太多了，我觉得吐了。	请勿随地吐痰。									
保持	你得保持安静。										
保存	我把所有的资料，都保存在我的硬盘里。										
避免	医生告诉她避免喝可口可乐。										
快餐											
采访	我采访了一名著名的演员。										
演讲											
埃及	开罗是埃及的首都。										
开罗											
考古											
特务	那个中国人很担心老外是特务。										
胡子	三张照片都有个共同点，他们都有大胡子。										
各种	我喜欢各种运动。										
甲骨											
苏美尔											
传承											
夜曲											
肖邦	肖邦是波兰作曲家和钢琴家。	给我弹一曲肖邦。									
作曲家											
起码	他们觉得汉字起码非常好看。										
居里夫人	镭是居里夫人所发现的。										
炫耀	书法不是炫耀自己。										
先难后易	学中文是先难后易。										
之旅	文明之旅										
论语											
儒家											
锻炼	我很喜欢锻炼。										
赌博	你喜欢赌博，是吗？										
王八蛋											
少爷											
孙子兵法											
财产	这是我的财产。	他把他的财产传给了他儿子。									
传给											
鉲密											
参考	这是一个有点老的文件，但至少你可以使用它作为参考。										
餐厅	他们才餐厅里看菜单。										
操场	一群年轻人在操场上打手球。										
测验	你的测验怎么样？										
叉子	他用叉子叉肉。										
叉											
车库	我父亲正在清扫车库。										
清扫	清扫你的房间！										
称呼	你是怎么称呼你父亲的呢？										
程度	你喜欢棒球到什么程度？										
棒球⚾️											
棒											
车厢	他们把火车的车厢连接好。										
成就	从无到有，这叫成就。										
匆匆	我匆匆脱掉衣服，跳进池子里。										
池子											
尺子	用这把尺子能量得准吗？										
量											
翅膀	我发现了翅膀受了重伤的鸟儿。	鸟有翅膀									
充电器											
隐私🔏	尊重个人隐私										
抽屉	把抽屉清空吧。										
清空											
椰子											
傍晚🌆	这艘船会在傍晚出发去英国。										
艘											
船🚢	坐船										
包裹	我在邮局给朋友寄包裹。										
宝贝	这个球是那个男孩的宝贝。										
要命	我渴得要命。										
背	我的背痛得要命。										
被子	他叠好了被子。										
叠											
本科	近几年，本科生喜欢去国外完成硕士学位。										
学位											
本领	他是怎样学到本领的？	他有一种从我的工作中找错我的本领。									
本质	这就是事情的本质。										
比例	男学生和女生比例是2比1。										
鞭炮	市政府取消了鞭炮的禁止。										
标志	红色，相对于绿色，是危险的标志。										
相对于											
表面	他只是表面诚实而已。										
表情	他脸上有不满的表情。										
表现											
玻璃											
脖子											
布											
传说	这故事主要来自传说。										
主要											
窗户	你让窗户开着吗？										
磁带	他把他的那段话磁带里删除了。										
删除											
醋	他在面条里放了些醋。										
措施											
初步	你的初步措施是什么？										
吃光	孩子们，把饭吃光吧。										
充饥	他说他吃光一头大象才能充饥。										
待遇	我不习惯这样的待遇。										
单位	家庭是社会最小的单位。										
单元	这本课本有二十单元。										
胆小鬼	他自己承认是胆小鬼。	他们中他胆小鬼。									
列奥纳多达芬奇											
当代	列奥纳多达芬奇是当代是最有才智的人。										
才智											
导演	谁是你们的最喜欢的导演？										
道德											
登机牌	我可以看看您的登机牌吗？										
敌人	酒是敌人。	敌人不靠近。	就是敌人。								
讨好	那个人很会讨好老板。										
地毯	在地毯上睡觉好极了！										
地震	地震随时都可能发生。										
电池	电池快没电了。										
顶	请看看也顶的图片。										
洞🕳️	他们正在挖一个洞。	这个洞多深？									
挖	继续挖！										
回声											
色情											
动画片	现在的日本动画片越来越色情了。										
毒素	这药有帮与清楚你血液中的毒素。										
对手	你不是他的对手。										
随机	调查对象谁随机挑选的。										
对象											
挑选	你打算挑选谁参加这个队？										
吨	这种卡车最大载重量是一顿。										
发票											
法院	我们曾请求法院调查。										
方案	这方案听起来不错。										
房东	我的房东租给了我一个很便宜的房子。	我的房东让我月底搬走。									
滑雪	我们去奥地利滑雪。										
滑											
滑冰⛸️											
滑落											
肥皂	肥皂从我手上滑落了。										
肺											
器官	肺是呼吸器官。										
呼吸	用你的鼻子呼吸。	鱼离开水就不能呼吸。	我想呼吸新鲜空气。	在这些高的地方很难呼吸。							
废话	你说的全是废话。	这是什么废话？									
费用	美国的生活费用了。										
愤怒	没有什么事曾让他愤怒。	我知道你感到愤怒，我也有同感。									
风格	这块地毯是伊朗风格的。										
风险											
服装	她穿中式服装。										
妇女											
改革	改革开放										
概念											
掌握	要掌握法语一点都不容易。										
无限	掌握无限空间的概念是很难的。	很难再2，3年内掌握中文。									
感受	那就是我的感受。										
感想	你对这场比赛有什么感想？										
产业	电脑产业的发展一日千里。										
一日千里											
雨珩											
涵方											
兰兰											
包袱											
偶像	偶像包袱										
啪啪啪											
胳膊	警察抓着小偷的胳膊。	他抓住了我的胳膊。									
鸽子	鸽子是和平的象征。	克拉科夫的鸽子是又胖又自豪。									
麻雀											
象征											
自豪	我为我的姐妹感到自豪。										
隔壁	他住在我的隔壁。										
革命	这场革命带来了很多改变。										
个性	他是个有个性的人。										
根	我们上课的学了就的根十三。										
公寓	我的公寓在这附近。										
公元	公园是从耶稣诞生起算。	他的公寓在三楼。									
耶稣	耶稣爱你。										
徒											
基督											
基督徒											
基督教	基督教时代										
从前	从前有一个公主。										
公主👸	她梦见她是一个公主。										
姑姑	我的姑姑做一条新裙子给我。										
古代	我父母对古代历史有兴趣。										
固体	冰是水的固体状态。										
观念	我妹妹没有时间观念。										
冠军🏆	他曾是世界网球冠军。										
罐头	我从来不吃罐头食品。										
管子	有东西卡在管子里。										
卡											
光盘	Ania,欢迎光临。										
光明	我来自黑暗，讨厌光明。										
订阅	请订阅我的频道。										
印度支那											
天才	爱因斯坦是个天才。										
爱因斯坦。											
光荣	她英勇的行为带给他了光荣。										
规矩	这个孩子没规矩。										
规律	了解市场经济规律对他们很重要。	你怀了规矩。									
规模	这个公司的规模很大。										
规则	你必须遵守规则。										
遵守	所有的人都应遵守法律。	遵守交通规则									
柜台	结账柜台在哪里？										
账单	我今天要结账出旅馆，请把账单给我。										
结账											
切碎	把胡萝卜切碎后再放进锅内。										
锅	火锅										
锅贴											
国籍	我们真正的国籍是人类。										
国庆节	国庆节快到了。										
果实											
搜查											
海关	我在机场被海关人员搜查。										
海鲜	如果你喜欢吃海鲜的话，你就来对地方了。										
航行	我的爸爸很喜欢航行。	如果你喜欢吃海鲜的话，你就来对地方了。									
核心	这个概念是他的理论的核心。										
后果											
壶	给我再来一壶俄咖啡。										
胡同											
花生🥜											
话题	二十分钟后，他们换了个新话题。										
皇帝	他是唐朝的最后的皇弟。										
黄瓜🥒	在我的菜园里，我有种了茄子，黄瓜和土豆。										
菜园											
茄子🍆											
土豆🥔	秘鲁是土豆的祖国										
皇后	皇后要求儿子娶邻国的公主。										
承担	我准备承担后果。	我将承担所有的费用。									
童工		我不想承担这样一个风险。									
乐园	儿童乐园										
灰	它会让你吃灰的。										
灰尘	把架子上的灰尘擦一下。										
汇率	今天的汇率是多少？										
婚礼	上个月我举行了婚礼。										
婚姻	我的父亲反对我们的婚姻。										
伙伴	重要经济的伙伴										
火柴	您有火柴吗？										
手电筒											
肌肉💪	他是这把钢琴的一端抬起来，结果拉伤了肌肉。										
端											
集体	那项发明使机体努力成果。	我还认识到了集体的力量。									
纪律	他对纪律是严格的。										
寂寞	他感到十分寂寞。	我很寂寞。									
记忆	我对父母的记忆很模糊。										
模糊	我给了他们一个模糊答案。										
嘉宾											
家乡	他的家乡只是地图上一个不起眼的小城。										
起眼											
价值	必须对他们说：“我看见了一幢价值十万法郎的房子”。										
高估	我们不能高估健康的价值。										
低谷	别低估我！										
拍	他拍拍我的肩膀。										
肩膀											
剪刀	理发正在用剪刀剪那个先生的头发。										
简历	我更新我的简历。	你最喜欢哪个季节？									
键盘	我需要就离我的键盘。										
健身房	我在健身房锻炼了几次以后，觉得身体好多了。										
蚂蚁🐜		她没有钱去健身房。									
酱油	我们的酱油用完了。										
出席	我想要出席派对。										
讲座	我们没有必要除夕这个讲座。	所有学生都出席了。									
郊区	我住在东京郊区。										
玉米🌽											
胶水	这种胶水粘得很结实。										
角度	是从不同的角度来看这件事。										
教材											
材料											
教练	这为足球教练收到了当地报纸的批评。										
失败乃成功之母	我的教练说："失败乃成功之母"。										
阶段	那孩子正经历困难的阶段。										
结构	头脑的结构很复杂。										
结论	你们怎么得出这个结论的？	“在书包里”的音节结构：“在/书包/里”									
解说员	解说员讲的是波兰语，但是字幕是法语的。										
戒指💍	我觉得这钻石戒指太奢侈。										
奢侈	这是我买过的最奢侈的东西。										
钻石💎	这可能不是真的钻石。										
金属	铁是种有用的金属。										
近代											
精神	虽然他六十多了，但是她精神很好。										
景色	哪里看景色很美。	他有音乐天赋。									
舅舅	我舅舅给我买了这本书。										
叔叔	大家都叫他"怪叔叔"。										
桔子🍊	我最喜欢吃桔子，其次才是草莓。										
聚会	我病了，所以那次聚会没去。										
俱乐部	她受要做俱乐部主席。										
容忍	我无法容忍他的行为。										
绝对	我认为我妈所说的绝对正确的。	这绝对是他们不能容忍的。									
决赛											
角色🎭	他在剧中扮演了一个小角色。										
扮演											
决心	我决心要成为一名科学家。										
开幕式											
演说	市长在开幕式上发表了演说。										
七龙珠	七龙珠是日本动漫。										
又称	又称中国汉语水平考试；官方英文简称为HSK。										
简称											
官方											
克	这种手工比较精细，所以每克的价格也比较贵。										
精细											
课程	这个课程能帮助你掌握正确发音。										
客观	他看问题比较客观。										
客厅	他不在厨房里，也不在客厅里。										
空间	这间房间没有空间再放一张床了。										
会计	我的朋友专业是会计。										
矿泉水	这家商店卖矿泉水。										
扩大	我想把草坪扩大。	他正在考虑扩大他的公司。									
辣椒🌶️	辣椒的味道是怎样的？										
蜡烛🕯️	他点燃了一支蜡烛										
点燃🔥	他点燃了生日蛋糕上的小蜡烛。										
老百姓	在旧社会老百姓的生活是贫困的。										
姥姥	我姥姥对所有人都很好。										
老鼠🐭	这只老鼠是死还是活的？	猫抓住了老鼠。									
镭											
雷	告诉我镭是什么时候被发现的。	他喜欢炫耀他的精美衣服。									
梨	我喜欢吃梨。										
厘米	我的姐姐比我大三岁，但他却比我十厘米。										
理论	实验证明了他的理论。										
实验											
理由	那就是他生气的理由。										
粒	一粒米都不要浪费。										
容器											
立方											
体积	这个容器的体积有一百立方米。										
力量	女人的力量不及男人。										
不及	她在各个方面都不及你。										
利润	我们两人评分利润吧。										
比特币											
利息	五千美元本金的利息多少？										
俩	他们兄弟俩性情完全不同。										
连续剧	他们今晚看了电视连续剧。										
恋爱	听起来像是我恋爱了吗？										
粮食	很多士兵因为缺少粮食死去。										
铃	下课铃响了。										
零食	不要在两顿饭之间吃零食。										
领域	他对文学领域特别感兴趣。	你熟悉这个领域吗？	他在自己的领域粒已经出名了。								
陆地	地球是由海洋和陆地组成的。										
论文											
逻辑	我不理解他的逻辑。										
麦克风🎤	刚才我的麦克风没起作用，不知道为什么。										
馒头	对不起，馒头卖完了。										
矛盾	吃鱼与素食主义有矛盾吗？										
平生	他平生喜欢冒险。										
冒险											
眉毛											
煤炭	一块煤炭从火中掉出来，烧坏了地毯。	禁止煤炭输出。									
魅力	我的性经历是为有魅力的女人。										
谜语	我不能解答这个谜语。										
蜜蜂🐝	我被蜜蜂蜇了一下。										
蜇											
秘密	它是个秘密。										
秘书	他是总统的秘书。										
总统											
棉花	棉花容易着火。	今年的棉花产量超过大大超过了去年。									
面积	这个厨房的面积大约是12平方米。										
秒	时间就是金钱，一秒都不能浪费。										
民主	我相信民主	我在民主这一边。									
毛病	你耳朵有毛病吗？										
目录	你可以在图书馆的图书目录上查找这本书。										
木头	木头能浮在水面上。										
水银											
汞											
浮	铁虽然重，但他能浮在水银上。										
脑袋											
能源	太阳能是一种新型能源。										
研制											
新型	那两个公司已合作研制新型赛车。										
年代											
年纪	他虽然上了年纪，手脚到很灵便。										
灵便	他手脚不灵便得起了床。	这辆车开起来很灵便。									
牛仔											
牛仔裤	我姐妹都喜欢穿牛仔裤。										
女士	请为这位女士叫辆出租车。										
盆	我只想要一小盆沙拉。										
姑娘	她脾气不好 。										
脾气	我爸爸脾气有点坏。	我读三年级。									
皮鞋👞	他买了一双黑色皮鞋。										
频道	我不喜欢这个频道的节目。										
品种	早熟西红柿品种。	你能将这两个品种区别开来么？									
平常	我偶尔喝杯咖啡，但平常都喝茶。										
平均	参加面试的女性平均年龄才是18岁。										
期间	圣诞节期间生意一向很好。										
奇迹	这是一个奇迹。										
其余	她有三个女儿，一个结了婚，其余还没有。										
余年											
达尔文	达尔文花了二十余年时间研究他的进化论。										
进化论	进化										
欠揍											
揍	我揍你										
欠	我欠您多少？										
九零后	那些九零后的女孩活很好。										
气氛	全城沉浸在节日的气氛中。										
汽油	汽车的汽油不够了。										
沉浸	他完全沉浸在书里。										
前途	他的工作很有前途。										
枪	他开了三枪。										
青少年	青少年是身体成熟期。										
情景											
情绪	他情绪激动。										
球迷	球迷一看见他都激动的大喊大叫。										
喊											
大喊大叫											
趋势	他有发胖的趋势。										
发胖	我怎么才能发胖？										
越...越	让我们的朋友圈越来越大。										
圈	他用铅笔在纸上画了一个圈。	朋友圈									
权利	人人享有平等的权利。										
人物											
虚构	这本书中的人物都是虚构的。										
人员	这家医院很需要医务人员，特别外科一生。										
外科											
外科医生											
日历📅											
日程	请让我看一下日程安排。										
选定											
日期	你们选定结婚日期了吗？										
日用品	我要去购物，因为我需要买些日用品。										
荣誉	这个荣誉来之不易。										
软件	我用各种各样的软件学习中文。										
嗓子	我的嗓子疼的咽不下东西。										
药片	不喝水我咽不下这些药片。										
闪电⚡️	孩子们被闪电吓坏了。	昨晚打雷闪电。									
聋子	善良是聋子能听，盲人能看的语言。										
扇子	这是一把中式扇子。										
商业											
勺子	这里的人不用筷子，用勺子和叉子。										
摸	这件衣服摸起来很舒服。										
蛇	摸这条蛇安全码？										
咬	他咬了一个苹果。										
舌头👅	我咬到自己舌头了。										
设备	这间医院有很多新设备。										
设施	图书馆有为残疾人服务的设施。										
残疾人											
论述	他的新书论述残疾人的问题。										
身材	为了保持身材，她每天跑步。										
死者											
身份	死者身份现在已经确定。										
身份证											
神话	我对希腊罗马神话非常感兴趣。										
神经	他承认自己神经极度紧张。										
声调	汉字比声调更难。	中文是一种带声调的语言。									
确信	我们确信能胜利。										
胜利	这是你们的胜利。										
诗 	我有时写几句诗。										
失眠	我夜里经常失眠。										
实话	他没有告诉我实话。										
实践	认识从实践开始。										
时刻	这是一个巨大的时刻。										
时期											
时尚	《时尚》是美国很流行的杂志。										
石头	这块石头太重了无法抬起来。										
食物	这食物不卫生。										
试卷											
寿命	现代医学延长人的寿命。										
延											
蔬菜	他是素食主义者，只吃蔬菜。										
书架	我有大量的书在我的书架上。										
梳子	请把那把梳子拿给我，我要梳一下头发。										
梳											
鼠标											
数据	数据表明年轻人抽烟的现象没有减少。										
收集	我们希望您了解我们会收集和使用那些数据。										
现象	为什么出现买越南媳妇的现象？										
媳妇											
首先	首先，我要听听双方的意见。										
双方											
税	我同意你对于税的意见。										
围巾	哥，你看，妈妈在中国给咱们买了丝绸围巾。										
毛巾											
丝绸	丝绸之路	丝绸古路									
思想	我们用词句来表达思想。										
思想	思想家										
寺庙	这座寺庙是何时造的？										
寺	玉佛寺										
高达	损失高达一万美元。										
损失											
锁	锁大门。										
塔	从这里可以看到那座塔。										
台阶	小心前面的台阶。										
太极拳	她认为太极拳改善了她的生活。										
改善	我想改善我的波语发音。										
善良											
谈判	谈判失败了。										
桃🍑	这些桃还没熟。										
准确	一个时钟最重要的是准确。	我的手表走时准确。	我的手表走时准确。								
特征	他准确的描述了小偷的特征。										
提纲	他写下演讲的提纲。										
题目											
天空	天空虽然变暗了。										
田野	我们偶尔会去田野里散步。										
挑战	中文很难，但是我很喜欢挑战。	我愿意接受更大的挑战。									
卫星🛰️											
通讯	通讯卫星										
铜	铜和金都是金属。										
痛苦	他发出痛苦的呼叫。										
土地	我国土地很大，资源丰富。										
外交	他受过演员训练，但改行做了外交工作。										
外交部											
改行											
完整	我们想要完整的句子。										
危害	有些药品会对身体产生危害。										
微笑😊	我不非常微笑。										
尾巴	兔子有长耳朵和短尾巴。										
伟大											
贝多芬	贝多芬是一个伟大音乐家。										
胃	我的胃偶尔会痛。										
确切	我不知道确切的日子。										
位置	我不知道者这家工厂的确切位置。										
温度	你奶奶喜欢这温度吗？										
卧室											
屋子	你怎么让屋子暖起来？										
武器	他用他的雨伞当作武器。										
武术🥋											
雾	我们在雾中迷路了。										
雾霾	北京的雾霾天气让我们心情不太好。										
物理	物理和化学你更喜欢哪个？										
党	中国国民党										
物质											
细节	她提了一下这个计划，但没有说明细节。										
戏剧	我正在学习英文戏剧。										
主修	他在大学主修戏剧。										
系统	我有ios操作系统。										
操作	操作系统										
现金	我想付现金。										
现实											
幻想	现实和幻想是很难区分的。										
项	我自信能够完成这项任务。										
项链	他给了我一条项链作为生日礼物。	这条项链是我奶奶送给我的									
项目	 										
橡皮											
象棋											
上升🔝											
消费	旧的消费每年都在消费。										
小伙子	这个小伙子连女朋友都没有，更不用替老婆了。										
小麦	我总分不清小麦和玉米。										
偷	小偷偷走了我的钱包。										
小偷	这儿有不少小偷！										
效率	帮助公司上下建立联系，提高工作效率。	这些学生很努旅，但是效率不太高。									
心里	我们应该注重心理健康。										
心脏❤️											
信封✉️	我在信封上写错了地址。										
信号	红灯通常是危险的信号。	没有视频信号。									
信息	不要让这些信息漏出去。										
秘密	秘密一直没有泄漏										
泄漏											
漏											
漏水	你的天花板在漏水。										
天花板	天花板上有一只蜘蛛。										
行动	准备好了再开始行动。										
行人🚶	这些道路上车辆行人很多。										
形式	音乐创作的形式多种多样的。										
创作											
形状	那片云是鱼的形状。	所有饼干都是星星的形状。									
性质	有的化学家研究气体的性质。										
气体											
胸	你的胸和肺似乎都很正常。										
正常	我的正常工作日是九小时。										
选举	下届选举我可能选她。										
博大精深	先生学问博大精深。										
宴会	那次宴会很轻松。										
阳台	他们在阳台上喝咖啡。										
样式	她穿衣服一向很随便，颜色，样式，很无所谓。										
无所谓											
腰	我一直抬那些东西，现在腰都痛了。										
业务											
液体	你应该和大众的液体。										
一辈子											
光棍	他打了一辈子光棍。										
遗憾	我对你的姐姐感到非常遗憾。	我对他的死忙表示遗憾。	你要离开波兰真是个遗憾。								
疑问											
禁不住	因为她有些疑问，她禁不住向他们我提问。										
意义	这份礼物对我意义重大。										
因素	这个试验的失败有很多因素。										
英雄	我小的时候，梦想成为英雄。										
营养	我很关心孩子的营养问题。	营养不良									
影子	他一直活在他哥哥的影子中。										
人行道	我在人行道上发现一枚硬币。										
枚											
硬币											
硬件											
拥抱	请给父母一个拥抱。										
用途	这种机器有很多种用途。										
春运											
辈分	他的辈分比我小。										
预言家											
语言	他有语言的能力。										
巫女											
巫术											
优势	懂得用电脑是一种优势。										
幼儿园	你今天在幼儿园做了什么？										
娱乐🎢	在一个地方你想要所有的娱乐。										
预报	据天气预报报道，明早将有大雨。										
语气	他说话的语气很和平。										
宇宙											
形成	宇宙是怎言形成的？										
元旦	这年元旦过得很快乐了，太有意义了。										
缘故	我不知道什么缘故，我觉得不能信任他。										
原料	这个国家原料大部分靠进口。										
原则	他是个非常有原则的人。										
假设	这只是个假设。	假设你有三个愿望，这三个愿望都是什么？									
愿望	告诉我你的愿望是什么？										
运气	迟早他的运气会完成。										
夺去	夺去了美名也就夺去了生命。										
灾害	在中国南方，每年都有很多人会被自然灾害夺去生命。										
展览	她正计划为他最新的作品举办一次展览。	工业展览									
战争	战争不能解决任何问题。										
冷战											
账户	我想关闭我的账户。										
关闭											
哲学	我喜欢看关于哲学的书。										
真理	真理不需要很多的话。										
毛毯											
枕头	请给我一个枕头和毛毯好吗。										
整体	从整体看，这个计划似乎很好。										
政策	独生子女政策										
证件	请出示你的有效证件。										
有利											
证据	证据对我有利。										
政治	她一直都对政治很感兴趣。										
支票											
执照	您的执照无效了。他到期了。										
到期											
无效											
过期	护照过期是无效的。										
制度	毛泽东改变制度。										
实行	共产主义是在苏联实行的制度。										
非凡	他的智慧非凡。										
智慧											
秩序	英国人很尊重秩序。										
志愿者	青年志愿者们都来自不同的国家。										
中介	这家中介服务非常好。										
中旬											
风雪	六月中旬，我们在这里有过一场大风雪。										
竹子	很多东西是由竹子做的。										
主观	你看问题太主观了。										
主人	主人给了小狗一块肉。	你是者这房子的主人吗？									
栋											
主席											
主张	他的主张一种不同的政策。										
祝福	请接受我对你们婚姻的祝福。										
专家	他是酒店管理方面的专家。										
状况	我的父亲状况是好是坏。										
状态	心理状态										
资格											
资金	积累资金										
资料💾	你给我的资料没有多大的用处。										
姿势	你知道那葡萄酒的正确姿势吗？										
资源	由于缺乏资源，他的项目被停止了。										
字幕	我没法看没有字幕的电影。										
宗教	他是宗教信徒。										
信徒											
提升											
总裁	不久他被提升为总裁。										
总理											
总统	谁将是美国下一届总统？										
祖先	据说我们的祖先是猴子。										
据说											
罪犯	罪犯终于自首了。										
自首											
作品	他的作品在电影界非常知名。										
知名	据说她是个知名的女演员。										
电影界											
采花贼											
设法											
把握	我们应该设法把握住这次机会。										
摆	为了方便我把书桌摆到了书架旁边。										
办理	我下年半准不爱去伦敦，现在正在办理签证。										
包含	这个价格不包含这辆车。										
包括	月租140元，不包括电费。										
退货	如果你保留了收据的话，这件商品可以退货。										
保留											
辩论	所有参加辩论的人都有机会发言。										
发言											
表扬	他从来没有表扬过我。										
拆	他们正在拆这面墙。										
踩	啊！你踩到我的脚了。										
参与	我们希望代价都能参与者活动。										
产生	他对我产生了信任感。										
笔记本											
抄	把这儿句抄在你的笔记本上。										
朝	他朝狗扔了一块肉。										
炒	你能用点油把肉炒一下吗？										
吵架	我小的时候总和姐姐吵架。										
趁	打铁趁热										
称	我们都称她小妹。										
称赞	人人都称赞这部影片。										
乘	您应该乘5路车。										
成立	这家公司成立与一九九零年。										
承受	这名妇女无法成熟生活的努力和紧张。										
成长	父母希望孩子健康地成长。										
吃亏	他不会说汉语，这使他很吃亏。										
持续	电影持续两个小时。										
冲厕	别忘了冲厕。										
泪水	他的眼睛里充满了泪水。										
充满											
重复	你能重复一遍吗？我刚刚没听到。										
出席	因为身体不适，他不能出席今天的回忆了。										
不适											
除	我能座在你旁边吗？这儿除了你我谁也不认识。										
处理	我们应该怎么处理这个问题吗？										
苍蝇	苍蝇能传播疾病										
疾病											
传播📣											
传递	电子邮件可以很快地传递信息。										
传染	我的感冒传染了他。	你把感冒传染给了我。									
闯	当他们正在开会时，他闯了进来。										
创造性											
创造	我们能够创造出我们想要的一切。	如果世界上没有神，那么我就用双手创造出神。									
吹	我把书上的灰吹掉了。										
辞职	我不喜欢我的工作。我辞职。										
仙人掌🌵											
花生🥜											
向日葵🌻											
研发											
刺激	咖啡能刺激神经。										
从事	她主要是从事写作。										
促进	发展旅游业将会促进经济。	我们必须促进于邻国的贸易。									
饥饿	饥饿促使她偷窃。										
促使											
偷窃											
催	让我想一想，别催我。										
存	先生，我要存钱。										
增加	老板答应给工人增加工资。										
答应	我答应你我永远不会离开你。										
达到	如果你不努力工作，是很难达到目标。										
打交道	她很容易打交道。										
打喷嚏	他感冒了，又打喷嚏，又咳嗽。										
打听	能抱我打听一下公寓的大小和价钱吗？										
贷款	这次银行拒绝贷款给我。										
挡	你挡我路？										
倒霉😓	他很倒霉，在考试当天生病了。										
肺癌											
导致	这也可能会导致肺癌。										
到达	我们会在一小时内到达。										
登记	秘书等急了我们的名字。										
等待	我们必须等待。										
倒	人倒众人踩。										
等于	一加二等于三。	六十分等于一小时。	运动等于减肥。								
滴											
滴	滴滴										
递	把盐递给我，好吗？	请把酒递给我。									
赞成	他们赞成我的计划。										
点头	我点头表示赞成。										
钓	昨天我钓了三条鱼。										
钓鱼	我的爱好是钓鱼。										
体检	你应该半年做一次体检。										
人民	我们的人民渴望独立。										
独立	他一向是个独立的女孩。										
烦心											
度过	我度过了非常烦心的一天。										
堆	把你的东西堆在这里就行了。										
对比	我能先对比一下这两本书，然后再做决定吗？										
对待	他这样对待老年人，太残忍了。										
蹲	我蹲在沙发后面。										
多亏	多亏他的大力帮助，我们在十五分钟内解决了问题。	多亏他们的帮助，我们才成功完成了工作。	多亏了你，我还活着。								
躲藏	你为什么在躲藏。										
发愁	别发愁了，那件事情已经处理好了。										
塞翁失马											
丢失	我丢失我的斧子。										
斧子											
失斧疑邻											
发抖	这个女孩被吓得手开始发抖。										
发挥	这本书会让你发挥你想象力。										
才智	我应该发挥我的聪明才智。										
发言	你在会上发言了吗？										
翻	请把锅里的肉翻过来。										
反映	价格反应者需求。										
映	月光映在安静的海面上。										
妨碍	车祸妨碍了交通。										
车祸	她死于一场车祸。										
仿佛	她哭泣着，仿佛她妈妈撕了。										
不可	颞部可通过。										
分布	中国的人口分布不均。										
不均											
分配	政府将分配粮食给了这些穷人。										
分析											
奋斗	不经过很苦奋斗，就不能成功。										
明显	她明显地在讽刺什么人。										
讽刺	最后的化石对我的讽刺。										
否认	他否认参加比赛。										
楼梯											
扶	你能扶我上楼梯吗？										
服从	军人必须服从命令。										
辅导	他扶到我学数学。										
富翁											
百万富翁											
亿万富翁											
付款	请问，在那儿付款？										
复制	我想把这文件夹到我的硬盘里。										
文件夹📁											
改进	我希望改进我的工作态度										
改善	我们必须改善空气质量										
改正	如果你发现有错的话，请帮忙改正。										
概括	你能用几句话概括这篇文章的重点吗？										
感激	我真的很感激你为我所做的一切。										
干活	干活慢点。										
搞	我决定把工作搞完再走。										
告别	明天我们要回国了，今天过来跟你告别。										
公布	明天将公布失踪人数。										
失踪	数十人仍然失踪。										
公开	他们公开了这个秘密。	他只是偶尔一次公开自己的观点。									
贡献	每个人都有能力贡献。										
沟通	父母与子女应该经常沟通。										
防水											
构成	这种新产品是由不同防水的材料构成。										
鼓舞											
临时工	老板雇佣了一些临时工。										
雇佣	为什么我要雇佣你？										
挂号	要想去医院看病得先挂号。										
观察	观察这些图片，告诉我有什么不一样？										
关怀	我们社会的年轻人需要收到关怀和爱护。										
滚	滚出我家！										
